ds,IS_CGNA,BUSINESS_SEGMENT,MX_TYPE,y,TOT_SUB,AVG_SUB,AVG_ITEM_PRICE,AVG_ITEM_CT
2024-01-01,1,Classic,Enterprise,175316,3756372.29,21.4262947,7.88128944,2.718628
2024-01-02,1,Classic,Enterprise,151934,3317775.38,21.8369514,4.54018967,4.8097
2024-01-03,1,Classic,Enterprise,148870,3404227.37,22.8671147,4.5738961,4.999483
2024-01-04,1,Classic,Enterprise,152716,3455779.53,22.6287981,4.57868329,4.942206
2024-01-05,1,Classic,Enterprise,157270,3609552.42,22.9513093,4.65001098,4.935754
2024-01-06,1,Classic,Enterprise,176762,4141318.85,23.4287848,4.61400523,5.077754
2024-01-07,1,Classic,Enterprise,178098,4134807.99,23.2164763,4.56026221,5.09104
2024-01-08,1,Classic,Enterprise,143471,3311595.86,23.0819877,4.59682106,5.021294
2024-01-09,1,Classic,Enterprise,143855,3349560.31,23.2842815,4.6575362,4.99927
2024-01-10,1,Classic,Enterprise,135685,3183021.28,23.4589032,4.68960321,5.002322
2024-01-11,1,Classic,Enterprise,141383,3301999.33,23.3549955,4.68390624,4.986222
2024-01-12,1,Classic,Enterprise,155434,3714007.2,23.8944324,4.6147398,5.17785
2024-01-13,1,Classic,Enterprise,177781,4271019.01,24.0240465,4.65142663,5.164877
2024-01-14,1,Classic,Enterprise,185062,4408007.13,23.819083,4.56750912,5.214896
2024-01-15,1,Classic,Enterprise,171416,3986063.57,23.2537428,4.51020332,5.155808
2024-01-16,1,Classic,Enterprise,152575,3555841.9,23.3055343,4.51506812,5.161724
2024-01-17,1,Classic,Enterprise,148159,3437102.99,23.1987459,4.54049865,5.109295
2024-01-18,1,Classic,Enterprise,149345,3540582.68,23.7074069,4.63228786,5.117861
2024-01-19,1,Classic,Enterprise,160203,3861517.91,24.1039051,4.64959664,5.184085
2024-01-20,1,Classic,Enterprise,183756,4397126.08,23.9291565,4.69323645,5.098647
2024-01-21,1,Classic,Enterprise,190307,4482164.67,23.5522848,4.57084827,5.152716
2024-01-22,1,Classic,Enterprise,150466,3456090.96,22.9692486,4.55991387,5.037211
2024-01-23,1,Classic,Enterprise,140764,3268446.7,23.2193366,4.69398712,4.946613
2024-01-24,1,Classic,Enterprise,138463,3249261.94,23.4666441,4.75327383,4.936943
2024-01-25,1,Classic,Enterprise,144299,3293139.14,22.8216352,4.67742226,4.879105
2024-01-26,1,Classic,Enterprise,153182,3519480.05,22.9758069,4.69330339,4.895445
2024-01-27,1,Classic,Enterprise,175535,4125620.37,23.5031211,4.76938202,4.927918
2024-01-28,1,Classic,Enterprise,185407,4320802.47,23.3044193,4.62655284,5.037102
2024-01-29,1,Classic,Enterprise,143236,3215403.67,22.4482928,4.62423784,4.854485
2024-01-30,1,Classic,Enterprise,137422,3092070.56,22.5005498,4.57412977,4.919089
2024-01-31,1,Classic,Enterprise,140518,3136883.68,22.3237143,4.69582821,4.753946
2024-02-01,1,Classic,Enterprise,151450,3453490.96,22.8028456,4.67159546,4.881169
2024-02-02,1,Classic,Enterprise,159967,3697071.47,23.1114634,4.69335893,4.924291
2024-02-03,1,Classic,Enterprise,180861,4211113.53,23.2837015,4.67816777,4.977098
2024-02-04,1,Classic,Enterprise,184982,4335853.5,23.4393265,4.59109059,5.105394
2024-02-05,1,Classic,Enterprise,146504,3344389.84,22.8279763,4.55320095,5.013611
2024-02-06,1,Classic,Enterprise,136912,3141481.85,22.945263,4.61442466,4.972508
2024-02-07,1,Classic,Enterprise,136626,3136879.38,22.9596078,4.66011133,4.926837
2024-02-08,1,Classic,Enterprise,142987,3318584.37,23.2089936,4.68633276,4.952485
2024-02-09,1,Classic,Enterprise,150090,3521567.54,23.4630391,4.79593989,4.892271
2024-02-10,1,Classic,Enterprise,174675,4172106.59,23.8849669,4.76902657,5.008353
2024-02-11,1,Classic,Enterprise,188548,4564245.26,24.2073385,4.66634489,5.187645
2024-02-12,1,Classic,Enterprise,145087,3287256.31,22.6571389,4.72386351,4.796315
2024-02-13,1,Classic,Enterprise,151165,3581044.95,23.6896434,4.85168073,4.88277
2024-02-14,1,Classic,Enterprise,257487,7111482.03,27.6188003,7.12922668,3.874025
2024-02-15,1,Classic,Enterprise,169252,4000074.34,23.6338379,5.20237424,4.542895
2024-02-16,1,Classic,Enterprise,162895,3840072.37,23.5739118,4.82713448,4.883624
2024-02-17,1,Classic,Enterprise,189534,4506025.56,23.7742334,4.7897309,4.963584
2024-02-18,1,Classic,Enterprise,194018,4529727.5,23.3469446,4.66357202,5.006237
2024-02-19,1,Classic,Enterprise,168221,3841678.61,22.8370929,4.59994781,4.964642
2024-02-20,1,Classic,Enterprise,145021,3323795.36,22.9194073,4.67849598,4.898884
2024-02-21,1,Classic,Enterprise,145356,3346613.94,23.0235693,4.69953482,4.899117
2024-02-22,1,Classic,Enterprise,159910,3753298.87,23.4713206,4.78422221,4.905985
2024-02-23,1,Classic,Enterprise,170073,3974620.03,23.3700824,4.83801746,4.830508
2024-02-24,1,Classic,Enterprise,192608,4530721.03,23.5230158,4.80307457,4.897491
2024-02-25,1,Classic,Enterprise,196023,4594757.3,23.4398887,4.69451576,4.993037
2024-02-26,1,Classic,Enterprise,156970,3613848.25,23.0225409,4.65428595,4.946525
2024-02-27,1,Classic,Enterprise,149430,3478303.42,23.2771426,4.6921607,4.960858
2024-02-28,1,Classic,Enterprise,156140,3621289.42,23.1925799,4.71005671,4.924055
2024-02-29,1,Classic,Enterprise,161492,3732505.33,23.112633,4.74919373,4.866644
2024-03-01,1,Classic,Enterprise,175835,4137136.08,23.528513,4.77003919,4.932562
2024-03-02,1,Classic,Enterprise,202090,4785924.28,23.682143,4.79861181,4.935207
2024-03-03,1,Classic,Enterprise,199201,4711910.79,23.6540519,4.6491106,5.087866
2024-03-04,1,Classic,Enterprise,160654,3703985.24,23.0556677,4.64572475,4.962771
2024-03-05,1,Classic,Enterprise,158384,3663321.81,23.1293679,4.66991796,4.952842
