ds,y,AVG_SUB,AVG_ITEM_PRICE,AVG_ITEM_CT,day_of_week,is_weekend,month,quarter,day_of_month,week_of_year,time_index,year,is_holiday,is_holiday_adjacent,is_new_years,is_july4,is_christmas,is_thanksgiving_period,is_super_bowl_period,lag_364,lag_364_avg
2024-01-01,175316,21.4262947,7.88128944,2.718628,0,0,1,1,1,1,0,2024,1,1,1,0,0,0,0,0.0,0.0
2024-01-02,151934,21.8369514,4.54018967,4.8097,1,0,1,1,2,1,1,2024,0,1,1,0,0,0,0,0.0,0.0
2024-01-03,148870,22.8671147,4.5738961,4.999483,2,0,1,1,3,1,2,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-04,152716,22.6287981,4.57868329,4.942206,3,0,1,1,4,1,3,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-05,157270,22.9513093,4.65001098,4.935754,4,0,1,1,5,1,4,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-06,176762,23.4287848,4.61400523,5.077754,5,1,1,1,6,1,5,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-07,178098,23.2164763,4.56026221,5.09104,6,1,1,1,7,1,6,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-08,143471,23.0819877,4.59682106,5.021294,0,0,1,1,8,2,7,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-09,143855,23.2842815,4.6575362,4.99927,1,0,1,1,9,2,8,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-10,135685,23.4589032,4.68960321,5.002322,2,0,1,1,10,2,9,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-11,141383,23.3549955,4.68390624,4.986222,3,0,1,1,11,2,10,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-12,155434,23.8944324,4.6147398,5.17785,4,0,1,1,12,2,11,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-13,177781,24.0240465,4.65142663,5.164877,5,1,1,1,13,2,12,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-14,185062,23.819083,4.56750912,5.214896,6,1,1,1,14,2,13,2024,0,1,0,0,0,0,0,0.0,0.0
2024-01-15,171416,23.2537428,4.51020332,5.155808,0,0,1,1,15,3,14,2024,1,1,0,0,0,0,0,0.0,0.0
2024-01-16,152575,23.3055343,4.51506812,5.161724,1,0,1,1,16,3,15,2024,0,1,0,0,0,0,0,0.0,0.0
2024-01-17,148159,23.1987459,4.54049865,5.109295,2,0,1,1,17,3,16,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-18,149345,23.7074069,4.63228786,5.117861,3,0,1,1,18,3,17,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-19,160203,24.1039051,4.64959664,5.184085,4,0,1,1,19,3,18,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-20,183756,23.9291565,4.69323645,5.098647,5,1,1,1,20,3,19,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-21,190307,23.5522848,4.57084827,5.152716,6,1,1,1,21,3,20,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-22,150466,22.9692486,4.55991387,5.037211,0,0,1,1,22,4,21,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-23,140764,23.2193366,4.69398712,4.946613,1,0,1,1,23,4,22,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-24,138463,23.4666441,4.75327383,4.936943,2,0,1,1,24,4,23,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-25,144299,22.8216352,4.67742226,4.879105,3,0,1,1,25,4,24,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-26,153182,22.9758069,4.69330339,4.895445,4,0,1,1,26,4,25,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-27,175535,23.5031211,4.76938202,4.927918,5,1,1,1,27,4,26,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-28,185407,23.3044193,4.62655284,5.037102,6,1,1,1,28,4,27,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-29,143236,22.4482928,4.62423784,4.854485,0,0,1,1,29,5,28,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-30,137422,22.5005498,4.57412977,4.919089,1,0,1,1,30,5,29,2024,0,0,0,0,0,0,0,0.0,0.0
2024-01-31,140518,22.3237143,4.69582821,4.753946,2,0,1,1,31,5,30,2024,0,0,0,0,0,0,0,0.0,0.0
2024-02-01,151450,22.8028456,4.67159546,4.881169,3,0,2,1,1,5,31,2024,0,0,0,0,0,0,0,0.0,0.0
2024-02-02,159967,23.1114634,4.69335893,4.924291,4,0,2,1,2,5,32,2024,0,0,0,0,0,0,0,0.0,0.0
2024-02-03,180861,23.2837015,4.67816777,4.977098,5,1,2,1,3,5,33,2024,0,0,0,0,0,0,0,0.0,0.0
2024-02-04,184982,23.4393265,4.59109059,5.105394,6,1,2,1,4,5,34,2024,0,0,0,0,0,0,1,0.0,0.0
2024-02-05,146504,22.8279763,4.55320095,5.013611,0,0,2,1,5,6,35,2024,0,0,0,0,0,0,0,0.0,0.0
